id;street;city;country;zip_code
1;Reilly Ridges;Valentinside;Trinidad and Tobago;96719
2;Mitchell Summit;Elliefort;Saint Vincent and the Grenadines;84908
3;Deven Circles;Zacharyview;Mongolia;89544-9132
4;Helga Lights;South Nayeliburgh;Ethiopia;19721-0671
5;Chaz Vista;South Chanelview;Cape Verde;73844-6951
6;Kenton Mount;Elzahaven;Bhutan;79431
7;Friesen Street;South Shirley;Samoa;47168
8;Albert Radial;Aiyanaburgh;Denmark;08798-3934
9;Wilhelm Divide;Rosschester;Dominica;77880
10;Kris Drive;Port Myrna;Netherlands;64518
