id;title;investment_amount;start_date;end_date;plan_description
1;Light sensor redundant;5039;2021-04-07;2021-04-07;Virgin Islands, U.S. parsing card
2;deliver;46817;2021-04-07;2021-04-07;Right-sized mindshare
3;system-worthy transmit;62958;2021-04-07;2021-04-07;Credit Card Account Borders Handmade Soft Fish
4;Chair Credit Card Account Sports;5360;2021-04-07;2021-04-07;Clothing
5;value-added;9499;2021-04-07;2021-04-07;matrix
6;interactive;29620;2021-04-07;2021-04-07;virtual Electronics encoding
7;generate program dynamic;38038;2021-04-07;2021-04-07;Associate
8;Savings Account experiences;36066;2021-04-07;2021-04-08;Metal Utah virtual
9;teal Metal;36559;2021-04-07;2021-04-07;Vietnam
10;payment;99943;2021-04-07;2021-04-08;Executive Colombia Unbranded Rubber Keyboard
