id;name;code;start_date;end_date
1;Savings Account budgetary management payment;Plastic;2021-04-07;2021-04-07
2;Kwanza Seychelles;Licensed Plastic Shirt;2021-04-07;2021-04-08
3;Electronics magenta indexing;hack;2021-04-08;2021-04-07
4;Sierra Leone Identity;empowering Human;2021-04-07;2021-04-08
5;compressing Awesome Steel Tuna;Berkshire Incredible Concrete Computer XSS;2021-04-08;2021-04-07
6;Branding;Generic Concrete Salad Ireland;2021-04-07;2021-04-07
7;Borders mission-critical generate;panel Route Licensed Steel Towels;2021-04-07;2021-04-07
8;Associate Wisconsin;Frozen Assistant;2021-04-07;2021-04-08
9;Kansas ADP;bypassing;2021-04-07;2021-04-07
10;value-added Chips Florida;Angola target;2021-04-07;2021-04-07
