id;description;qty;price;discount;taxes;is_tax_percent
1;array;82181;46093;21578;96146;61600
2;Intelligent Soft Car copy olive;90652;6776;52836;11834;11596
3;online Grocery Awesome;24426;89668;82995;58030;92488
4;parse impactful Front-line;43370;1063;9565;70700;44073
5;Incredible Fresh Cheese;88635;63169;84937;91639;78957
6;analyzer didactic Court;32446;28072;11013;55990;57051
7;Texas Keyboard teal;95271;88061;75305;82201;15679
8;bluetooth synthesize haptic;50573;1878;21719;12688;83769
9;back-end Saint Lucia;85011;74883;24612;77171;23756
10;Legacy California indexing;10175;39507;72916;36971;70497
