id;gstin;invoice_date;terms;is_paid;amount
1;Investor Barbados transmit;2021-04-07T09:53:10;unleash contextually-based Idaho;true;66883
2;well-modulated;2021-04-07T06:30:05;Home copying;true;56797
3;TCP function compressing;2021-04-08T04:58:56;Chief;true;42341
4;Direct partnerships;2021-04-07T13:06:24;tan Multi-layered;false;9068
5;override Agent;2021-04-07T22:37:41;violet;false;43154
6;Georgia View;2021-04-08T04:14:04;Hat Delaware;true;30728
7;payment;2021-04-07T13:47:16;Ramp Executive British Indian Ocean Territory (Chagos Archipelago);true;97759
8;initiatives;2021-04-07T10:21:43;auxiliary;true;51012
9;maroon Wooden Small;2021-04-08T05:57:28;Rhode Island sensor;false;30836
10;attitude-oriented;2021-04-08T02:16:28;communities;true;51806
