id;description;qty;price;discount;taxes;is_tax_percent
1;circuit Money Market Account;66487;14994;66221;96554;29068
2;Product Sleek Fresh Bike;75099;28181;3101;98449;20203
3;leverage;43063;10420;58430;74129;14941
4;Delaware;32502;49783;94142;85268;57876
5;Concrete withdrawal;59024;84348;7163;86338;80964
6;withdrawal Myanmar;53484;85443;39823;15140;67341
7;Small Chicken Avon;89675;60342;53231;19282;77788
8;overriding;31437;29112;46868;83218;95656
9;Cotton;79631;68860;97645;2663;99440
10;Bike override;10145;79642;60521;89754;1471
