id;name;description;price;weight;dimension;photo_1;photo_1_content_type;photo_2;photo_2_content_type;photo_3;photo_3_content_type;is_physical_product;maintain_inventory
1;Open-architected methodology;cohesive;43086;6537;User-centric Pants Secured;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;false;true
2;South Dakota South Carolina redundant;e-services deposit auxiliary;65068;94007;Interactions;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;false;false
3;static payment copying;Accountability IB Shirt;43840;49797;visualize analyzing;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;false;true
4;program;SMTP bypassing deposit;18024;56222;Automotive;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true;true
5;Assistant Green;synergize;13053;61779;multi-byte Metrics monetize;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;false;true
6;Legacy Swiss Franc Solutions;array encoding;1047;82477;conglomeration;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;false;true
7;Bedfordshire withdrawal;calculate;21994;1048;multimedia panel payment;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true;false
8;24/7;Credit Card Account invoice Liaison;92691;26995;Shoes exuding;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;false;false
9;Ball port;Norfolk Island auxiliary;64808;73857;Savings Account Accountability;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;false;true
10;infomediaries;withdrawal whiteboard Central;31805;47705;generating Taka toolset;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;false;false
