id;gstin;quote_date;terms;amount
1;Savings Account Turnpike index;2021-04-07T19:06:14;transmitting firewall firewall;77927
2;Oklahoma bus;2021-04-07T17:22:26;Books;95905
3;Shoes Sports;2021-04-08T05:47:58;Cook Islands auxiliary Pakistan Rupee;17058
4;Car Frozen;2021-04-07T19:58:30;metrics bypassing;33890
5;salmon Synergistic payment;2021-04-07T12:04:15;backing up calculating olive;68657
6;Unbranded Soft Chips;2021-04-08T01:44:27;Cotton Connecticut;11136
7;SAS Towels;2021-04-07T12:37:35;back-end;75164
8;Chilean Peso Unidades de fomento;2021-04-07T20:27:05;benchmark;63384
9;Optimization Robust;2021-04-08T00:02:29;Credit Card Account deposit;14151
10;Pants Sports;2021-04-08T01:10:57;Baby alarm;16257
