id;name;is_percent;figure;description
1;Soft Principal sexy;false;37038;lime virtual Investment Account
2;Strategist XML;true;38899;Investment Account
3;infomediaries Table calculating;true;37060;green
4;green;false;56094;hard drive platforms
5;Home Cambodia;true;23109;hard drive
6;Ouguiya;true;18103;Avon Bacon
7;Home Loan Account Investor;false;61749;schemas Tasty Wooden Fish
8;Money Market Account;false;70603;haptic lime
9;Moroccan Dirham;true;75332;Steel expedite plum
10;recontextualize;false;49521;bluetooth Lodge
